id,Season,City,date,team1,team2,TossWin,TossDecision,result,dl_applied,win_by_runs,win_by_wickets,Player_of_Match,Venue,umpire1,umpire2,umpire3
14,2021,Sharjah,25-07-2019,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,normal,0,0,4,AR Patel,Sharjah Cricket Stadium,AK Chaudhary,MA Gough,
15,2021,Abu Dhabi,26-07-2019,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,0,5,RD Gaikwad,"Zayed Cricket Stadium, Abu Dhabi",CB Gaffaney,VK Sharma,
16,2021,Dubai,27-07-2019,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,normal,0,0,7,KL Rahul,Dubai International Cricket Stadium,KN Ananthapadmanabhan,RK Illingworth,
17,2021,Sharjah,28-07-2019,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,normal,0,0,7,JR Hazlewood,Sharjah Cricket Stadium,Nitin Menon,YC Barde,
18,2021,Dubai,29-07-2019,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,6,YS Chahal,Dubai International Cricket Stadium,AY Dandekar,KN Ananthapadmanabhan,
19,2021,Abu Dhabi,30-07-2019,Punjab Kings,Mumbai Indians,Mumbai Indians,field,normal,0,0,6,KA Pollard,"Zayed Cricket Stadium, Abu Dhabi",S Ravi,VK Sharma,
20,2021,Sharjah,31-07-2019,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,0,3,SP Narine,Sharjah Cricket Stadium,Nitin Menon,HAS Khalid,
21,2021,Dubai,01-08-2019,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,normal,0,0,7,JJ Roy,Dubai International Cricket Stadium,KN Ananthapadmanabhan,Navdeep Singh,
22,2021,Abu Dhabi,02-08-2019,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,0,6,RA Jadeja,"Zayed Cricket Stadium, Abu Dhabi",CB Gaffaney,Tapan Sharma,
23,2021,Dubai,03-08-2019,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,54,0,GJ Maxwell,Dubai International Cricket Stadium,AK Chaudhary,MA Gough,
24,2021,Abu Dhabi,04-08-2019,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,normal,0,33,0,SS Iyer,"Zayed Cricket Stadium, Abu Dhabi",CB Gaffaney,UV Gandhe,
25,2021,Sharjah,05-08-2019,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,5,0,JO Holder,Sharjah Cricket Stadium,RK Illingworth,YC Barde,
26,2021,Sharjah,06-08-2019,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,0,6,DJ Bravo,Sharjah Cricket Stadium,AK Chaudhary,Nitin Menon,
27,2021,Abu Dhabi,07-08-2019,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,0,10,SP Narine,"Zayed Cricket Stadium, Abu Dhabi",S Ravi,VK Sharma,
